주차장관리번호,주차장명,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,요금정보,위도,경도
405-2-000001,금능리 1428,노외,,제주특별자치도 제주시 한림읍 금능리 1428,13,무료,33.3889435,126.2318909
405-2-000002,금능리 1537,노외,,제주특별자치도 제주시 한림읍 금능리 1537,23,무료,33.3888675,126.2262186
405-2-000003,금능리 2016 외,노외,,제주특별자치도 제주시 한림읍 금능리 2016,85,무료,,
405-2-000004,대림리 1717-2,노외,,제주특별자치도 제주시 한림읍 대림리 1717-2,207,무료,33.4205592,126.2733313
405-2-000005,대림리 1820-32,노외,,제주특별자치도 제주시 한림읍 대림리 1820-32,4,무료,33.4172118,126.2643182
405-2-000006,수원리 31-3,노외,,제주특별자치도 제주시 한림읍 수원리 31-3,6,무료,33.4259873,126.2694675
405-2-000007,수원리 572-2,노외,,제주특별자치도 제주시 한림읍 수원리 572-2,8,무료,33.4276895,126.2680581
405-2-000008,옹포리 239-1,노외,,제주특별자치도 제주시 한림읍 옹포리 239-1,21,무료,33.4049901,126.2562069
405-2-000009,옹포리 295-11,노외,,제주특별자치도 제주시 한림읍 옹포리 295-11,29,무료,33.4058864,126.2577471
405-2-000010,옹포리 495-2,노외,,제주특별자치도 제주시 한림읍 옹포리 495-2,7,무료,33.4047729,126.2516428
405-2-000011,옹포리 569,노외,,제주특별자치도 제주시 한림읍 옹포리 569,10,무료,33.4036147,126.2516756
405-2-000012,한림리 1011,노외,,제주특별자치도 제주시 한림읍 한림리 1011,12,무료,33.4147995,126.2695222
405-2-000013,한림리 1028-1,노외,,제주특별자치도 제주시 한림읍 한림리 1028-1,12,무료,33.414335,126.2676179
405-2-000014,"한림리 1051-1, 1051-3",노외,,제주특별자치도 제주시 한림읍 한림리 1051-1,9,무료,33.4139891,126.2662358
405-2-000015,한림리 1074-1,노외,,제주특별자치도 제주시 한림읍 한림리 1074-1,17,무료,33.4144369,126.2649542
405-2-000016,한림리 1140-2,노외,,제주특별자치도 제주시 한림읍 한림리 1140-2,5,무료,33.4134504,126.2665437
405-2-000017,한림리 1194-2,노외,,제주특별자치도 제주시 한림읍 한림리 1194-2,14,무료,33.4124462,126.2656249
405-2-000018,한림리 1197-4,노외,,제주특별자치도 제주시 한림읍 한림리 1197-4,7,무료,33.4119054,126.2654529
405-2-000019,한림 상두거리,노외,,제주특별자치도 제주시 한림읍 한림리 1198-3,124,유료,33.4124838,126.2653233
405-2-000020,한림리 1213-2,노외,,제주특별자치도 제주시 한림읍 한림리 1213-2,4,무료,33.4143822,126.2645531
405-2-000021,한림리 1281-9,노외,,제주특별자치도 제주시 한림읍 한림리 1281-9,17,무료,33.4161776,126.2659504
405-2-000022,"한림리 1304-10, 1304-11, 1287-7",노외,,제주특별자치도 제주시 한림읍 한림리 1304-10,31,무료,33.4157407,126.2656516
405-2-000023,한림리 1314-160,노외,,제주특별자치도 제주시 한림읍 한림리 1314-160,12,무료,33.4169588,126.2636417
405-2-000024,한림리 1314-163,노외,,제주특별자치도 제주시 한림읍 한림리 1314-163,8,무료,33.4169464,126.2638374
405-2-000025,한림리 1328-63,노외,,제주특별자치도 제주시 한림읍 한림리 1328-63,6,무료,33.415945,126.2625377
405-2-000026,"한림리 1333-24, 1333-37",노외,,제주특별자치도 제주시 한림읍 한림리 1333-24,11,무료,33.414362,126.2618837
405-2-000027,한림리 1368-1,노외,,제주특별자치도 제주시 한림읍 한림리 1368-1,6,무료,33.4138694,126.2623741
405-2-000028,"한림리 1368-3,1368-7,1333-9,1333-12",노외,,제주특별자치도 제주시 한림읍 한림리 1368-3,30,무료,33.4139001,126.2621283
405-2-000029,한림리 1371-36,노외,,제주특별자치도 제주시 한림읍 한림리 1371-36,2,무료,33.4134198,126.2611363
405-2-000030,"한림리 1389-2,4,7, 1446-10",노외,,제주특별자치도 제주시 한림읍 한림리 1389-2,31,무료,33.4129715,126.2623552
405-2-000031,"한림리 1397,1397-1,1438-1",노외,,제주특별자치도 제주시 한림읍 한림리 1397,10,무료,33.413395,126.2628457
