osm_type,osm_id,name,lat,lon,parking,access,fee
node,327179151,세계자동차제주박물관 주차장,33.282500,126.349682,,,
node,892623140,,33.245364,126.571207,surface,yes,no
node,893995465,,33.462714,126.936266,surface,yes,
node,2460224523,,33.472324,126.934255,,,
node,2907188313,,33.303948,126.789683,,,
node,2977273401,,33.343492,126.711169,,,
node,2978761678,,33.336714,126.694976,,,
node,3512449954,,33.436959,126.904991,,,
node,3741670008,,33.232671,126.292757,,,
node,3786957274,,33.496356,126.476247,,,
node,3786957275,,33.495556,126.475686,,,
node,3786957276,,33.496085,126.476629,,,
node,3786957277,,33.496559,126.473824,,,
node,3787139749,방선문주차장,33.452965,126.517839,,,
node,3788680422,,33.510210,126.715040,surface,yes,no
node,3841401401,,33.486864,126.431759,,,
node,3841401403,,33.486790,126.432239,,,
node,4218769808,,33.401936,126.337036,,,
node,4416272707,Parking For Ttarabi Oreum,33.384559,126.758166,,,
node,4654730959,아파트주차장,33.499938,126.522537,surface,private,
node,4766041553,,33.348719,126.366531,,,
node,4766041562,,33.348510,126.366106,,,
node,4853763232,,33.247075,126.406856,,,
node,4853763662,,33.257294,126.408656,,,
node,4888058179,,33.541130,126.668796,,,
node,5559158005,,33.469568,126.922371,,,
node,5841688852,,33.293855,126.421668,,,
node,5841699338,,33.442817,126.278111,,,
node,7551693855,,33.556743,126.794630,,,
node,9038261156,주차장,33.425381,126.665665,,,
node,9038274096,주차장,33.427654,126.673973,,,
node,9129177228,주차장,33.462772,126.936287,surface,yes,
node,10258761309,,33.289165,126.589033,,,
node,10865584379,,33.513573,126.957707,,,
node,10865584680,,33.501780,126.943738,,,
node,10869044450,,33.520879,126.948781,,,
node,10873264941,,33.512236,126.959506,,,
node,10873264973,,33.512695,126.960037,,,
node,10874112566,,33.507991,126.953785,,,
node,10874140487,,33.509356,126.961800,,,
node,10887138578,,33.493811,126.955038,,,
node,10887138579,,33.494699,126.954435,,,
node,10887147271,,33.493963,126.959326,,,
node,10887435632,,33.492380,126.952993,,,
node,10891657126,,33.497988,126.966944,,,
node,10891657202,,33.497400,126.968386,,,
node,11098097993,,33.257957,126.416914,,,
node,11098162686,,33.269518,126.446664,,,
node,11484468374,,33.295113,126.570441,,,
node,11484476881,,33.228076,126.261374,,,
node,11484518879,,33.467946,126.502784,,,
node,11493885748,,33.232014,126.256868,,,
node,11754137894,,33.244180,126.381676,,,
node,11878229470,,33.251038,126.621772,surface,yes,no
node,12818896056,,33.430783,126.933446,,,
node,12818912408,,33.435021,126.924236,,,
node,13545223744,,33.448651,126.569562,,,
node,13610092732,,33.251369,126.195899,,,
node,13816263183,,33.347185,126.180907,,customers,
node,13819883401,,33.235657,126.514983,,yes,
node,13819883402,,33.235317,126.514600,,yes,
node,13821056869,,33.462181,126.933976,,,
node,13942364828,,33.508172,126.529014,underground,,
node,13951441554,,33.511777,126.528625,underground,,
node,13961288519,,33.516076,126.528761,underground,,
node,13961294569,,33.515527,126.528345,underground,,
node,13962483083,,33.514694,126.528098,underground,,
node,13966121983,,33.514303,126.527668,underground,,
node,13979630908,,33.511829,126.523212,underground,,
node,13979630912,,33.511849,126.523213,underground,,
node,13979797279,,33.517276,126.519210,underground,,
node,13979797280,,33.517295,126.519240,underground,,
node,14000366201,,33.513495,126.524196,underground,,
node,14007356107,,33.512032,126.520986,underground,,
node,14019983855,,33.512258,126.521010,underground,,
node,14023297825,,33.511478,126.522824,underground,,
node,14023297834,,33.511596,126.522023,underground,,
node,14027827900,,33.509643,126.519988,underground,,
node,14030082498,,33.510009,126.522743,underground,,
way,96516754,,33.500134,126.454893,,,
way,96516804,,33.497290,126.453578,street_side,,
way,101507818,중문관광단지 주차장4,33.238478,126.426328,surface,customers,yes
way,169637154,,33.451236,126.306557,,,
way,169637162,,33.448828,126.303071,,,
way,169639449,,33.452595,126.486420,,,
way,169639450,,33.452054,126.487992,,,
way,169639452,,33.452560,126.488201,,,
way,169639456,,33.452957,126.488232,,,
way,169639460,,33.450740,126.487515,,,
way,169655472,,33.462069,126.935302,surface,yes,no
way,169655473,,33.461303,126.934946,surface,,
way,199546954,,33.384858,126.619967,surface,,
way,242422069,,33.249984,126.408072,surface,,
way,242422070,,33.249863,126.408608,surface,,
way,242422349,,33.247327,126.411838,surface,,
way,242443616,씨에스 호텔앤리조트 주차장,33.242716,126.420404,surface,,
way,242444687,씨에스 호텔앤리조트 주차장,33.243037,126.420712,surface,,
way,242445985,퍼시픽랜드 1주차장,33.244959,126.414753,surface,,
way,242446965,퍼시픽랜드 4주차장,33.244541,126.415709,surface,,
way,242451274,,33.244167,126.418809,surface,,
way,242455603,,33.246303,126.414566,surface,,
way,242455787,,33.252997,126.418822,surface,yes,no
way,242456066,,33.251475,126.415021,surface,,
way,242553343,,33.245570,126.405888,surface,,
way,242553874,중문관광단지 주차장3,33.243781,126.422894,surface,,
way,242553957,,33.251112,126.413160,surface,,
way,242556350,,33.246846,126.417443,surface,,
way,242556351,,33.247424,126.416799,surface,,
way,242556352,,33.247212,126.417441,surface,,
way,242558744,,33.249195,126.411494,surface,,
way,242558745,,33.249860,126.411069,surface,,
way,242707882,,33.423845,126.929474,surface,yes,yes
way,242945161,,33.310032,126.711730,surface,,
way,243282399,정방폭포 주차장,33.244657,126.573770,surface,yes,no
way,243284370,,33.254721,126.410125,surface,,
way,245280674,,33.504693,126.530120,,,
way,246702872,,33.390085,126.485229,surface,yes,no
way,248050213,,33.357660,126.462745,,,
way,248053103,,33.311110,126.458767,,,
way,248112419,,33.346325,126.495974,,,
way,249419885,,33.310475,126.570778,,,
way,249419886,,33.315800,126.575906,,,
