주차장관리번호,주차장명,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,요금정보,위도,경도
406-2-000001,돔베낭골공영주차장,노외,제주특별자치도 서귀포시 태평로92번길 49 (호근동),제주특별자치도 서귀포시 호근동 1619,54,무료,33.240168,126.531879
406-2-000002,보목 노외 1 공영주차장,노외,,제주특별자치도 서귀포시 보목동 393,70,혼합,33.2432037,126.6060817
406-2-000003,보목마을회관 동측 공영주차장,노외,,제주특별자치도 서귀포시 보목동 788-1,19,무료,33.2414082,126.6035154
406-2-000004,중앙동 공영무료주차장,노외,,제주특별자치도 서귀포시 서귀동 252-8,10,무료,33.2492358,126.5686464
406-2-000005,아랑조을거리 공영주차장,노외,,제주특별자치도 서귀포시 서귀동 312-5,139,혼합,33.2479107,126.5604205
406-2-000006,동홍1공영주차빌딩,노외,,제주특별자치도 서귀포시 동홍동 395-2,144,혼합,33.25040465,126.5688552
406-2-000007,서홍공영노외2주차장,노외,,제주특별자치도 서귀포시 서홍동 327-3,56,무료,33.25925758,126.5572983
406-2-000008,법환상로 공영주차장,노외,,제주특별자치도 서귀포시 법환동 480-1,9,무료,33.2410225,126.5127111
406-2-000009,법환동 우체국 앞 공영주차장,노외,,제주특별자치도 서귀포시 법환동 1219-2,12,무료,33.23759269,126.5123384
406-2-000010,천지연 공영주차장,노외,,제주특별자치도 서귀포시 서홍동 684,190,무료,33.24390527,126.5605745
406-2-000011,문부공원 공영주차장,노외,제주특별자치도 서귀포시 일주동로 8593 (동홍동),제주특별자치도 서귀포시 동홍동 646-1,35,무료,33.25431516,126.5699892
406-2-000012,용머리 공영주차장,노외,제주특별자치도 서귀포시 안덕면 사계남로216번길 28,제주특별자치도 서귀포시 안덕면 사계리 118-3,70,무료,33.233793,126.310842
406-2-000013,월드컵경기장 공영주차장,노외,제주특별자치도 서귀포시 월드컵로 31 (법환동),제주특별자치도 서귀포시 법환동 914,723,무료,33.247067,126.507363
406-2-000014,매일올레시장 공영주차빌딩,노외,제주특별자치도 서귀포시 중앙로62번길 20 (서귀동),제주특별자치도 서귀포시 서귀동 277-1,232,유료,33.2503908,126.5635907
406-2-000015,산방산 남측 공영주차장,노외,,제주특별자치도 서귀포시 안덕면 사계리 163-1,37,무료,33.235943,126.3118281
406-2-000016,대정하모 공영노외2주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 964-2,14,혼합,33.223027,126.252066
406-2-000017,걸매생태공원 공영주차장,노외,제주특별자치도 서귀포시 서홍로 4-40 (서홍동),제주특별자치도 서귀포시 서홍동 477-1,79,무료,33.25014681,126.5545605
406-2-000018,제일교회 부근 공영주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 1129-1,5,무료,33.222216,126.249797
406-2-000019,송악산공영주차장,노외,,제주특별자치도 서귀포시 대정읍 상모리 165,15,무료,33.20598643,126.288942
406-2-000020,대정하모 공영노외3주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 1512-1,14,혼합,33.223864,126.2524395
406-2-000021,고성오일장 옆 공영주차장,노외,제주특별자치도 서귀포시 성산읍 고성오조로 93,제주특별자치도 서귀포시 성산읍 고성리 1180-34,97,무료,33.451862,126.912815
406-2-000022,표선민속촌 공영주차장,노외,제주특별자치도 서귀포시 표선면 민속해안로 631-46,제주특별자치도 서귀포시 표선면 표선리 40-77,184,무료,33.32382678,126.8436765
406-2-000023,성읍민속마을 공영주차장,노외,,제주특별자치도 서귀포시 표선면 성읍리 778,69,무료,33.38479295,126.8007251
406-2-000024,하모3리마을회관 옆 공영주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 1077-1,10,무료,33.221643,126.2495852
406-2-000025,중앙로터리공영주차빌딩,노외,제주특별자치도 서귀포시 서문로 7 (서귀동),제주특별자치도 서귀포시 서귀동 298-2,120,혼합,33.251679,126.560439
406-2-000026,정방폭포 공영주차장,노외,제주특별자치도 서귀포시 칠십리로214번길 35-1 (동홍동),제주특별자치도 서귀포시 동홍동 277,62,무료,33.244605,126.573225
406-2-000027,상모아파트 앞 공영주차장,노외,,제주특별자치도 서귀포시 대정읍 상모리 3970-2,13,무료,33.222557,126.2572262
406-2-000028,남원리 구오일장마당 공영주차장,노외,,제주특별자치도 서귀포시 남원읍 남원리 84-2,37,무료,33.27879026,126.721369
406-2-000029,천지동노인회관 공영주차장,노외,제주특별자치도 서귀포시 서문로 37 (서귀동),제주특별자치도 서귀포시 서귀동 321-5,18,무료,33.24959972,126.558497
406-2-000030,고성리 회전교차로 공영주차장,노외,제주특별자치도 서귀포시 성산읍 고성오조로 42,제주특별자치도 서귀포시 성산읍 고성리 336-2,65,무료,33.446556,126.915749
406-2-000031,법환동 재활용도움센터 옆 공영주차장,노외,제주특별자치도 서귀포시 법환로 87 (법환동),제주특별자치도 서귀포시 법환동 1063,20,무료,33.240292,126.507801
406-2-000032,회수사거리 공영주차장,노외,,제주특별자치도 서귀포시 회수동 788-2,18,무료,33.263075,126.4424805
406-2-000033,하모리 제주은행 맞은편 공영주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 846-11,17,무료,33.22124006,126.253279
406-2-000034,성산읍사무소 옆 공영주차장,노외,,제주특별자치도 서귀포시 성산읍 고성리 1022-8,31,무료,33.442407,126.9113794
406-2-000035,쇠소깍 공영주차장,노외,제주특별자치도 서귀포시 쇠소깍로 104 (하효동),제주특별자치도 서귀포시 하효동 990-1,54,혼합,33.254249,126.622494
406-2-000036,고성리 원광어린이집 인근 공영주차장,노외,,제주특별자치도 서귀포시 성산읍 고성리 1089,16,무료,33.449139,126.9106733
406-2-000037,천지공영주차빌딩(공작물),노외,제주특별자치도 서귀포시 서문로 16 (서귀동),제주특별자치도 서귀포시 서귀동 305-1,218,혼합,33.251523,126.559351
406-2-000038,성산체육관 공영주차장,노외,제주특별자치도 서귀포시 성산읍 일주동로 4024,제주특별자치도 서귀포시 성산읍 오조리 1365-1,152,무료,33.46674615,126.9045603
406-2-000039,고성리 구보건지소 공영주차장,노외,,제주특별자치도 서귀포시 성산읍 고성리 1192-2,33,무료,33.4509482,126.9138794
406-2-000040,동광육거리 공영주차장,노외,,제주특별자치도 서귀포시 안덕면 동광리 827,37,혼합,33.310947,126.3416552
406-2-000041,화순사거리 공영주차장,노외,,제주특별자치도 서귀포시 안덕면 화순리 1072,38,무료,33.24631514,126.3352378
406-2-000042,중앙공영주차빌딩(공작물),노외,제주특별자치도 서귀포시 중앙로54번길 17 (서귀동),제주특별자치도 서귀포시 서귀동 291-2,306,혼합,33.24985968,126.562164
406-2-000043,성산고성 공영노외1주차장,노외,,제주특별자치도 서귀포시 성산읍 고성리 327-1,55,혼합,33.44855946,126.916654
406-2-000044,남원의례회관 공영주차장,노외,,제주특별자치도 서귀포시 남원읍 남원리 380-1,181,무료,33.294469,126.7115719
