개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
6510000,202565100000800006,제주특별자치도 제주시청,,제주특별자치도 제주시 노형동 3784-1,교통단속,5,200,360도 전방면,30,,064-728-7352,33.483785,126.480497,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:09
6510000,202565100000800115,제주특별자치도 제주시청,,제주특별자치도 제주시 일도1동 1476-11,교통단속,4,200,360도 전방면,30,,064-728-7352,33.513337,126.526969,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800352,제주특별자치도 제주시청,,제주특별자치도 제주시 노형동 920-13,교통단속,3,200,360도 전방면,30,,064-728-7352,33.48269,126.4818,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:11
6510000,202565100000800148,제주특별자치도 제주시청,,제주특별자치도 제주시 애월읍 애월리 1584-4,교통단속,5,200,360도 전방면,30,,064-728-7352,33.464389,126.32034,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800236,제주특별자치도 제주시청,,제주특별자치도 제주시 용담2동 1719-4,교통단속,4,200,360도 전방면,30,,064-728-7352,33.498555,126.497009,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800181,제주특별자치도 제주시청,,제주특별자치도 제주시 연동 303-15,교통단속,5,200,360도 전방면,30,,064-728-7352,33.485704,126.496501,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800073,제주특별자치도 제주시청,,제주특별자치도 제주시 삼도2동 21,교통단속,4,200,360도 전방면,30,,064-728-7352,33.514595,126.523082,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800238,제주특별자치도 제주시청,,제주특별자치도 제주시 영평동 2169-3,교통단속,4,200,360도 전방면,30,,064-728-7352,33.454847,126.571493,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800244,제주특별자치도 제주시청,,제주특별자치도 제주시 이도2동 1061-10,교통단속,4,200,360도 전방면,30,,064-728-7352,33.497654,126.537973,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800186,제주특별자치도 제주시청,,제주특별자치도 제주시 도련1동 1976-1,교통단속,5,200,360도 전방면,30,,064-728-7352,33.51585,126.58075,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800117,제주특별자치도 제주시청,,제주특별자치도 제주시 일도1동 1425-3,교통단속,3,200,360도 전방면,30,,064-728-7352,33.513151,126.524709,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800349,제주특별자치도 제주시청,,제주특별자치도 제주시 삼도2동 1265,교통단속,1,200,360도 전방면,30,,064-728-7352,33.518117,126.516426,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:11
6510000,202565100000800229,제주특별자치도 제주시청,,제주특별자치도 제주시 노형동 919,교통단속,4,200,360도 전방면,30,,064-728-7352,33.485282,126.479906,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800106,제주특별자치도 제주시청,,제주특별자치도 제주시 건입동 1164,교통단속,3,200,360도 전방면,30,,064-728-7352,33.5159,126.53,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800136,제주특별자치도 제주시청,,제주특별자치도 제주시 도남동 651,교통단속,4,200,360도 전방면,30,,064-728-7352,33.487648,126.526478,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800127,제주특별자치도 제주시청,,제주특별자치도 제주시 애월읍 광령리 1333-12,교통단속,3,200,360도 전방면,30,,064-728-7352,33.460709,126.4374,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800050,제주특별자치도 제주시청,,제주특별자치도 제주시 연동 2319-5,교통단속,3,200,360도 전방면,30,,064-728-7352,33.491495,126.485345,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:09
6510000,202565100000800356,제주특별자치도 제주시청,,제주특별자치도 제주시 화북일동 2055-1,교통단속,4,200,360도 전방면,30,,064-728-7352,33.51899,126.5691,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:11
6510000,202565100000800163,제주특별자치도 제주시청,,제주특별자치도 제주시 애월읍 하귀1리 214-1,교통단속,4,200,360도 전방면,30,,064-728-7352,33.48313,126.412539,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
6510000,202565100000800165,제주특별자치도 제주시청,,제주특별자치도 제주시 애월읍 하귀1리 158-2,교통단속,3,200,360도 전방면,30,,064-728-7352,33.48445,126.41545,2025-11-05,I,2026-05-15 18:45:38,2025-12-09 16:23:10
