개방자치단체코드,관리번호,과속방지턱관리번호,도로명,시도명,시군구명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,WGS84위도,WGS84경도,보차분리여부,연속형여부,과속방지턱설치연도,관리기관명,관리기관전화번호,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
6510000,202465100000600664,,제주특별자치도 제주시 월산남길,제주특별자치도,제주시,제주특별자치도 제주시 월산남길 46,제주특별자치도 제주시 노형동 3332-1,제주특별자치도 제주시 노형동 3332-1,원호형,원호형,10,360,500,일반,Y,33.4703194766,126.4665356269,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:27
6510000,202465100000600309,,제주특별자치도 제주시 북성로,제주특별자치도,제주시,제주특별자치도 제주시 북성로 24,제주특별자치도 제주시 삼도이동 10-2,제주특별자치도 제주시 삼도이동 10-2,원호형,원호형,2,360,500,일반,Y,33.5160714181,126.5222998593,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:25
6510000,202465100000600333,,제주특별자치도 제주시 남성로22길,제주특별자치도,제주시,제주특별자치도 제주시 남성로22길 8-1,제주특별자치도 제주시 삼도이동 802-16,제주특별자치도 제주시 삼도이동 802-16,원호형,원호형,8,360,500,일반,Y,33.5086682800,126.5213427000,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:25
6510000,202465100000600073,,제주특별자치도 제주시 신북로,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 신북로 637,제주특별자치도 제주시 조천읍 함덕리 261-11,제주특별자치도 제주시 조천읍 함덕리 261-11,원호형,원호형,10,360,500,일반,Y,33.5406466139,126.6775659908,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:24
6510000,202465100000600913,,제주특별자치도 제주시 도근내길,제주특별자치도,제주시,제주특별자치도 제주시 도근내길 24,제주특별자치도 제주시 외도일동 435-22,제주특별자치도 제주시 외도일동 435-22,원호형,원호형,10,360,500,일반,Y,33.4923184653,126.4334593051,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:29
6510000,202465100000600265,,제주특별자치도 제주시 홍랑길,제주특별자치도,제주시,제주특별자치도 제주시 홍랑길 34-1,제주특별자치도 제주시 삼도일동 305-55,제주특별자치도 제주시 삼도일동 305-55,원호형,가상형,0,360,500,일반,Y,33.5029344500,126.5234056000,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:25
6510000,202465100000600642,,제주특별자치도 제주시 방안4길,제주특별자치도,제주시,,제주특별자치도 제주시 노형동 1757-1,제주특별자치도 제주시 노형동 1757-1,원호형,원호형,10,360,500,일반,Y,33.4666717976,126.4742469556,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:27
6510000,202465100000601757,,제주특별자치도 제주시 사송길,제주특별자치도,제주시,제주특별자치도 제주시 사송길 4,제주특별자치도 제주시 영평동 1873-7,제주특별자치도 제주시 영평동 1873-7,원호형,원호형,10,360,500,일반,Y,33.4765271200,126.5674286000,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:34
6510000,202465100000600817,,제주특별자치도 제주시 도평길,제주특별자치도,제주시,제주특별자치도 제주시 도평길 71,제주특별자치도 제주시 도평동 788-1,제주특별자치도 제주시 도평동 788-1,원호형,원호형,10,360,500,일반,Y,33.4784898284,126.4511582446,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:28
6510000,202465100000601080,,제주특별자치도 제주시 한림해안로,제주특별자치도,제주시,,제주특별자치도 제주시 한림읍 수원리 950-2,제주특별자치도 제주시 한림읍 수원리 950-2,원호형,원호형,10,360,500,일반,Y,33.4272925400,126.2639426000,Y,N,,제주특별자치도 제주시청,064-728-3742,2024-07-25,I,2026-05-15 18:45:22,2024-09-04 21:39:30
