화장실명,구분명,소재지도로명주소,소재지지번주소,개방시간,개방시간상세,비상벨설치여부,전화번호,위도,경도
단풍나무숲 화장실,간이화장실,제주특별자치도 제주시516로2596 한라생태숲,,정시,09:00~18:00,N,0647108682,33.4307713,126.5964042
제주항 연안여객터미널(2층 식당),개방화장실,제주특별자치도 제주시 임항로 111,,정시,04:30~21:00,Y,0647108693,33.5200407,126.5342262
하도어촌체험어장,공중화장실,,제주특별자치도 제주시 구좌읍 하도리 22-1,상시,,Y,0647287745,33.5198918,126.9012146
삼양포구(해양수산과),공중화장실,제주특별자치도 제주시 서흘1길 79,제주특별자치도 제주시 삼양1동 1912-7,상시,,Y,0647288178,33.5318463,126.5914725
외도동주민센터,개방화장실,제주특별자치도 제주시 일주서로 7350,,정시,09:00~18:00,Y,,33.4929258,126.4321221
애월읍공설묘지,공중화장실,,제주특별자치도 제주시 애월읍 광령리 산157,상시,,N,0647288866,33.4195072,126.4471924
올레13코스,공중화장실,제주특별자치도 제주시 한경면 신정로 124-2,,상시,,Y,0647287954,33.3249568,126.1943852
저지오름주차장,공중화장실,,제주특별자치도 제주시 한경면 저지리 산52,상시,,Y,0647287954,33.3350001,126.2477389
한마음공원(곰솔곶화장실)(한마음병원서쪽),개방화장실,,제주특별자치도 제주시 이도2동 1942-1,상시,24시간,Y,0647283605,33.4955404,126.5447114
대서광장(공연장),공중화장실,제주특별자치도 제주시 추자로 37,제주특별자치도 제주시 추자면 대서리 147-5지선,상시,,Y,0647284283,,
영흥리(광장),공중화장실,제주특별자치도 제주시 추자로 107,제주특별자치도 제주시 추자면 영흥리 367-14,상시,,Y,0647284283,,
등대공원,공중화장실,제주특별자치도 제주시 추자면 영흥4길 46,,상시,,Y,0647284283,,
노형근린공원(한화@ 서쪽),개방화장실,제주특별자치도 제주시 과원북4길 12,,상시,24시간,Y,0647283605,33.4808937,126.4828696
민속오일시장C(주차장P3),공중화장실,제주특별자치도 제주시 오일장서길 26,,정시,06:00~22:00,Y,0647282827,33.4972470,126.4748884
"신산공원1(동쪽, 입구쪽)",개방화장실,제주특별자치도 제주시 신산로 92-12,,상시,24시간,Y,0647283605,33.5052969,126.5337445
제주시생활체육공원(파크골프장),간이화장실,제주특별자치도 제주시 와흘전1길32,,정시,08:00~18:00,N,0647283279,33.4723756,126.6365086
선운정사내,공중화장실,제주특별자치도 제주시 애월읍 구몰동길 65,,상시,,Y,0647998588,33.4293598,126.3071463
유아숲체험원 화장실,간이화장실,제주특별자치도 제주시516로2596 한라생태숲,,정시,09:00~18:00,Y,0647108682,33.4307713,126.5964042
제주항 연안여객터미널(1층 대합실),개방화장실,제주특별자치도 제주시 임항로 111,,정시,04:30~21:00,Y,0647108693,33.5200407,126.5342262
주경기장 1층(본관좌측),개방화장실,제주특별자치도 제주시 서광로2길 24,,정시,09:00~18:00,Y,0647283279,33.4950629,126.5187972
귀덕2리방파제,공중화장실,제주특별자치도 제주시 한림읍 한림해안로 621,,상시,24시간,Y,0647287652,33.4424830,126.2786671
