개방자치단체코드,관리번호,설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분명,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
6510000,202465100000701482,교래자연휴양림,CCTV POLE (야영지구 원두막 1인근),제주특별자치도,제주시,관광,KT,Jeju Free Wifi,,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도 제주시 조천읍 교래리 산 95,제주특별자치도 정보정책과,064-710-2352,33.4463446,126.6605733,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:54
6510000,202465100000701322,구좌중앙초등학교 (금산목방면),반대편 버스정류장 동쪽 외부 상단,제주특별자치도,제주시,교통시설,KT,Jeju Free Wifi,,제주특별자치도 제주시 구좌읍 월정7길 1,제주특별자치도 제주시 구좌읍 월정리 100,제주특별자치도 정보정책과,064-710-2352,33.5518511,126.7978545,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:52
6510000,202465100000700111,한라산국립공원_성판악탐방안내소,무인민원발급기 상부,제주특별자치도,제주시,편의시설,KT,Jeju Free Wifi,,제주특별자치도 제주시 조천읍 516로 1865,제주특별자치도 제주시 조천읍 교래리 산 137-24,제주특별자치도 정보정책과,064-710-2352,33.3862614,126.6185812,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:41
6510000,202465100000701042,제주제일중학교 (혜성무지개타운방면),정류장천정,제주특별자치도,제주시,교통시설,KT,Jeju Free Wifi,,제주특별자치도 제주시 남광로 28,제주특별자치도 제주시 이도이동 1973-1,제주특별자치도 정보정책과,064-710-2352,33.4932567,126.5394843,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:49
6510000,202465100000700154,탑동 테마거리,탑동광장 관리사무소 서,제주특별자치도,제주시,관광,KT,Jeju Free Wifi,,제주특별자치도 제주시 중앙로 1,제주특별자치도 제주시 건입동 1444,제주특별자치도 정보정책과,064-710-2352,33.5181592,126.5251272,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:41
6510000,202465100000701061,신제주오피스텔 (은남동방면),정류장 천정,제주특별자치도,제주시,교통시설,KT,Jeju Free Wifi,,제주특별자치도 제주시 신광로 101,제주특별자치도 제주시 연동 276-7,제주특별자치도 정보정책과,064-710-2352,33.483063,126.490099,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:49
6510000,202465100000700229,제주의료원,지하 구내매점 천정,제주특별자치도,제주시,기타,KT,Jeju Free Wifi,,제주특별자치도 제주시 산천단남길 10,제주특별자치도 제주시 아라일동 4-17,제주특별자치도 정보정책과,064-710-2352,33.4453101,126.5602272,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:42
6510000,202465100000701148,일우 한란 아파트 (우령이 마을방면),길건너 정류장 방향 지향 1개,제주특별자치도,제주시,교통시설,KT,Jeju Free Wifi,,제주특별자치도 제주시 도근내길 2,제주특별자치도 제주시 외도일동 426-1,제주특별자치도 정보정책과,064-710-2352,33.4924208,126.431283,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:50
6510000,202465100000701506,갓전시관,2F 천정,제주특별자치도,제주시,관광,KT,Jeju Free Wifi,,제주특별자치도 제주시 조천읍 남조로 1904,제주특별자치도 제주시 조천읍 교래리 457-1,제주특별자치도 정보정책과,064-710-2352,33.4371936,126.6706504,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:54
6510000,202465100000700512,전기차충전소_에코촌 유스호스텔,IP주 지향1개,제주특별자치도,제주시,교통시설,KT,Jeju Free Wifi,,제주특별자치도 제주시 조천읍 북흘로 376-9,제주특별자치도 제주시 조천읍 선흘리 2610,제주특별자치도 정보정책과,064-710-2352,33.5168938,126.7037684,2024-08-06,I,2026-05-15 18:45:29,2024-08-06 15:05:44
